HMDB.ID	Metabolite.name	Receptor_gene.ID	Receptor_symbol
HMDB0000338	2-Hydroxyestradiol	13982	Esr1
HMDB0000492	Chloride ion	20504	Slc17a1
HMDB0000517	L-Arginine	11989	Slc7a3
HMDB0000517	L-Arginine	11988	Slc7a2
HMDB0000517	L-Arginine	11987	Slc7a1
HMDB0000517	L-Arginine	69354	Slc38a4
HMDB0000517	L-Arginine	210198	Gprc6a
HMDB0000517	L-Arginine	12000	Avpr2
HMDB0000518	Chenodeoxycholic acid	20186	Nr1h4
HMDB0000538	Adenosine triphosphate	68667	Trpm4
HMDB0000538	Adenosine triphosphate	233571	P2ry6
HMDB0000538	Adenosine triphosphate	57385	P2ry4
HMDB0000538	Adenosine triphosphate	18442	P2ry2
HMDB0000538	Adenosine triphosphate	310444	P2ry13
HMDB0000538	Adenosine triphosphate	70839	P2ry12
HMDB0000538	Adenosine triphosphate	18441	P2ry1
HMDB0000538	Adenosine triphosphate	18439	P2rx7
HMDB0000538	Adenosine triphosphate	18440	P2rx6
HMDB0000538	Adenosine triphosphate	94045	P2rx5
HMDB0000538	Adenosine triphosphate	18438	P2rx4
HMDB0000538	Adenosine triphosphate	228139	P2rx3
HMDB0000538	Adenosine triphosphate	231602	P2rx2
HMDB0000538	Adenosine triphosphate	18436	P2rx1
HMDB0000538	Adenosine triphosphate	16523	Kcnj8
HMDB0000538	Adenosine triphosphate	16514	Kcnj11
HMDB0000561	beta-Carotene	19411	Rarg
HMDB0000561	beta-Carotene	218772	Rarb
HMDB0000561	beta-Carotene	19401	Rara
HMDB0000574	L-Cysteine	26570	Slc7a11
HMDB0000574	L-Cysteine	215113	Slc43a2
HMDB0000588	Sodium	114479	Slc5a5
HMDB0000588	Sodium	53881	Slc5a3
HMDB0000588	Sodium	20537	Slc5a1
HMDB0000641	L-Glutamine	20540	Slc7a7
HMDB0000641	L-Glutamine	330836	Slc7a6
HMDB0000641	L-Glutamine	20539	Slc7a5
HMDB0000641	L-Glutamine	74338	Slc6a19
HMDB0000641	L-Glutamine	56774	Slc6a14
HMDB0000641	L-Glutamine	72401	Slc43a1
HMDB0000641	L-Glutamine	17254	Slc3a2
HMDB0000641	L-Glutamine	234788	Slc38a8
HMDB0000641	L-Glutamine	234595	Slc38a7
